dbprimary_acc	display_label	description
IPR027367	Gly-zipper_YMGG	YMGG-like Gly-zipper
IPR027372	Phytase-like_dom	Phytase-like domain
IPR027375	DKNYY	DKNYY family
IPR027377	Znf-3CxxC	Zinc-binding domain
IPR027378	Nucleotide_channel_N	Cyclic nucleotide-regulated ion channel, N-terminal
IPR027379	CLS_N	Cardiolipin synthase N-terminal
IPR027381	LytR/CpsA/Psr_C	LytR/CpsA/Psr regulator, C-terminal domain
IPR027383	Znf_put	Putative zinc-finger
IPR027385	OMP_b-brl	Outer membrane protein beta-barrel domain
IPR027387	Cytb/b6-like_sf	Cytochrome b/b6-like domain superfamily
IPR027389	B_mannosylTrfase_Bre-3/Egh	Beta-1,4-mannosyltransferase Bre-3/Egh
IPR027390	Endoglucanase_F_dom3	Endoglucanase F, domain 3
IPR027391	Nol1_Nop2_Fmu_2	rRNA small subunit methyltransferase F, RNA-binding PUA-like domain
IPR027392	TF_Znf	Transcription factor zinc-finger
IPR027395	WH_DNA-bd_dom	Winged helix DNA-binding domain
IPR027396	DsrEFH-like	DsrEFH-like
IPR027397	Catenin-bd_sf	Catenin binding domain superfamily
IPR027398	SecD-TM	SecD export protein N-terminal TM domain
IPR027399	ADH_N_assoc	Alcohol dehydrogenase GroES-associated
IPR027400	S_HR2_CoV	Spike glycoprotein, heptad repeat 2, coronavirus
IPR027401	Myosin_IQ_contain_sf	Myosin IQ motif-containing domain superfamily
IPR027405	YidB-like	YidB-like
IPR027414	GH95_N_dom	Glycosyl hydrolase family 95, N-terminal domain
IPR027424	Glucose_Oxidase_domain_2	Glucose Oxidase, domain 2
IPR027430	Retinal_BS	Visual pigments (opsins) retinal binding site
IPR027433	Lipoxygenase_dom_3	Lipoxygenase, domain 3
IPR027434	Homing_endonucl	Homing endonuclease
IPR027438	Ecotin_C	Ecotin, C-terminal
IPR027442	MAPKAPK_C	MAP kinase activated protein kinase, C-terminal
IPR027444	H-NS_C_dom	Histone-like protein H-NS, C-terminal domain
IPR027445	FIH-1	Hypoxia-inducible factor 1-alpha inhibitor
IPR027446	VSG_C_dom_sf	Variant surface glycoprotein C-terminal domain superfamily
IPR027449	KduI_N	5-keto-4-deoxyuronate isomerase, N-terminal
IPR027452	FIH-1_dom_II	Hypoxia-inducible factor 1-alpha inhibitor, domain II
IPR027454	Histone_HNS_N	Histone-like protein H-NS, N-terminal
IPR027458	STE2_TM1-TM2_sf	Pheromone alpha factor receptor, double transmembrane domain superfamily
IPR027461	Carboxypeptidase_A_C_sf	LD-carboxypeptidase A, C-terminal domain superfamily
IPR027462	ZapD_C	Z ring-associated protein D, C-terminal
IPR027463	AcrB_DN_DC_subdom	Multidrug efflux transporter AcrB TolC docking domain, DN/DC subdomains
IPR027465	TIMP_C	Proteinase inhibitor I35b (TIMP), C-terminal
IPR027467	MopterinOxRdtase_cofactor_BS	Molybdopterin oxidoreductase, molybdopterin cofactor binding site
IPR027468	Alpha-dystroglycan_domain_2	Alpha-dystroglycan domain 2
IPR027470	Cation_efflux_CTD	Cation efflux protein, cytoplasmic domain
IPR027471	YbeD-like_sf	YbeD-like domain superfamily
IPR027475	Asparaginase/glutaminase_AS2	Asparaginase/glutaminase, active site 2
IPR027476	DppA_N	D-aminopeptidase, N-terminal
IPR027478	LdcA_N	Murein tetrapeptide carboxypeptidase, N-terminal
IPR027481	HIV-1_Nef_core_sf	HIV-1 Nef protein, core domain superfamily
IPR027487	Ribosomal_L48	Mitochondrial ribosomal protein L48
IPR027491	Ribosomal_L31_A	Ribosomal protein L31 type A
IPR027492	RNA_MTrfase_RlmN	Dual-specificity RNA methyltransferase RlmN
IPR027493	Ribosomal_L31_B	Ribosomal protein L31 type B
IPR027495	Sti35	Thiamine thiazole synthase
IPR027499	GatF	Glutamyl-tRNA(Gln) amidotransferase subunit F, mitochondrial
IPR027501	Lonp2_euk	Lon protease homologue 2, peroxisomal
IPR027503	Lonm_euk	Lon protease homologue, chloroplastic/mitochondrial
IPR027505	MtnB_viridiplantae	Probable bifunctional methylthioribulose-1-phosphate dehydratase/enolase-phosphatase E1
IPR027511	ENOPH1_eukaryotes	Enolase-phosphatase E1, eukaryotes
IPR027513	RtcB_euk	RNA-splicing ligase RtcB homologue, eukaryotic
IPR027517	Deoxyhypusine_hydroxylase	Deoxyhypusine hydroxylase
IPR027518	GUFP	Translation factor GUF1 homologue, organellar chromatophore
IPR027519	KFase_ver/fungi-typ	Kynurenine formamidase, vertebrates/fungi-type
IPR027520	Slx1	Structure-specific endonuclease subunit Slx1
IPR027522	Ala_tRNA_synth_plant	Probable alanine--tRNA ligase, plants
IPR027523	CLU	Clustered mitochondria protein
IPR027526	Lipoyl_synth_chlpt	Lipoyl synthase, chloroplastic
IPR027527	Lipoyl_synth_mt	Lipoyl synthase, mitochondrial
IPR027528	eIF3m	Eukaryotic translation initiation factor 3 subunit M
IPR027530	Csn7b	COP9 signalosome complex subunit 7b
IPR027532	Mdm12	Mitochondrial distribution and morphology protein 12
IPR027533	3_ketoreductase_fungal	Very-long-chain 3-oxoacyl-CoA reductase, fungal
IPR027535	Sulf_adenylyltr_euk	Sulfate adenylyltransferase
IPR027536	Mdm34	Mitochondrial distribution and morphology protein 34
IPR027537	Mmm1	Maintenance of mitochondrial morphology protein 1
IPR027538	Get1_fungi	Get 1, fungi
IPR027539	Mdm10	Mitochondrial distribution and morphology protein 10
IPR027541	Ars_ATPase	Arsenical pump-driving ATPase
IPR027543	Lon_bac	Lon protease, bacterial
IPR027544	Shikimate_kinase_2	Shikimate kinase 2
IPR027545	Kynurenine_monooxygenase	Kynurenine 3-monooxygenase
IPR027546	Sirtuin_class_III	Sirtuin, class III
IPR027553	Heavy_Cys	Eight-cysteine-cluster domain
IPR027555	Mo5U34_MeTrfas-like	tRNA (Mo5U34)-methyltransferase-like
IPR027558	Pre_pil_HX9DG	Prepilin-type processing-associated H-X9-DG domain
IPR027565	Cupin_WbuC	Cupin fold metalloprotein, WbuC family
IPR027572	Fol-rel_CADD	Putative folate metabolism protein, CADD family
IPR027574	Thiaminase_II	Thiaminase II
IPR027577	OvoA_Nterm	5-histidylcysteine sulfoxide synthase
IPR027582	Amanitin/phalloidin	Amanitin/phalloidin toxin
IPR027589	Choice_anch_B	Choice-of-anchor B domain
IPR027591	CofD-rel_GAK	CofD-related protein, GAK system
IPR027593	Aro_clust	Aromatic cluster surface protein
IPR027596	AmmeMemoSam_rS	AmmeMemoRadiSam system radical SAM enzyme
IPR027612	Put_MTase_LIC12133	Putative methyltransferase, LIC12133 family
IPR027619	C_S_lyase_PatB	Putative C-S lyase
IPR027623	AmmeMemoSam_A	AmmeMemoRadiSam system protein A
IPR027625	OvoA_Cterm	Putative 4-mercaptohistidine N1-methyltranferase, OvoA C-terminal domain
IPR027628	DotA_TraY	Conjugal transfer/type IV secretion protein DotA/TraY
IPR027629	DevT-like	Putative protein phosphatase DevT-like
IPR027641	WASP	Wiskott-Aldrich syndrome protein
IPR027644	DIAPH2	Protein diaphanous homologue 2
IPR027645	Formin_F/D	Formin-F/D
IPR027647	FHOD1	FH1/FH2 domain-containing protein 1
IPR027649	Inf2	Inverted formin-2
IPR027653	Formin_Diaph1	Formin, protein diaphanous homologue 1
IPR027654	Formin_DIAPH3	Formin, protein diaphanous homologue 3
IPR027659	Sgcb	Beta-sarcoglycan
IPR027666	ACTRT2	Actin-related protein T2
IPR027670	Exostosin-1	Exostosin-1
IPR027673	Exostosin-2	Exostosin-2
IPR027675	Exostosin-like_1	Exostosin-like 1
IPR027679	ACTL7A	Actin-like protein 7A
IPR027681	IRSp53/IRTKS/Pinkbar	I-BAR domain containing protein IRSp53/IRTKS/Pinkbar
IPR027682	MTSS1	I-BAR domain containing protein MTSS1
IPR027685	Shroom_fam	Shroom family
IPR027686	Shroom2	Shroom2
IPR027687	Shroom4	Shroom4
IPR027691	Ten-3/4	Teneurin-3/4
IPR027705	Flotillin_fam	Flotillin family
IPR027707	TNNT	Troponin T
IPR027710	ENKD1	Enkurin domain-containing protein 1
IPR027712	HSF2	Heat shock factor protein 2
IPR027713	Ssh4_Saccharomycetales	Protein Ssh4, Saccharomycetales
IPR027717	Girdin	Girdin
IPR027718	TF_Skn7	Transcription factor Skn7
IPR027719	Daple	Protein Daple
IPR027722	Sfl1	Flocculation suppression protein
IPR027727	MID1	Midline-1
IPR027728	Topless_fam	Topless family
IPR027729	HSF3	Heat shock factor protein 3
IPR027736	HSF5	Heat shock factor protein 5
IPR027738	EB3	EB3
IPR027739	EB1_Meta	EB1, Metazoa
IPR027741	DNM1	Dynamin-1
IPR027742	Hunchback	Protein hunchback
IPR027746	TTL	Probable tubulin-tyrosine ligase
IPR027748	TTLL-4	Tubulin polyglutamylase TTLL-4
IPR027753	TTLL3	Tubulin monoglycylase TTLL3
IPR027754	TTLL6	Tubulin polyglutamylase TTLL6
IPR027756	Ovo-like	Ovo-like
IPR027759	Trihelix_TF_GT3	Trihelix transcription factor GT3
IPR027761	NUDCD3	NudC domain-containing protein 3
IPR027764	Zfp18	Zinc finger protein 18
IPR027765	PLAG1/PLAGL2	Zinc finger protein PLAG1/PLAGL2
IPR027784	Slx4_ascomycetes	Structure-specific endonuclease subunit Slx4, ascomycetes
IPR027785	UvrD-like_helicase_C	UvrD-like helicase C-terminal domain
IPR027786	Nse4/EID	Nse4/EID family
IPR027787	Alpha/beta-hydrolase_catalytic	Alpha/beta-hydrolase, catalytic domain
IPR027788	Alpha/beta-hydrolase_N_dom	Alpha/beta-hydrolase, N-terminal domain
IPR027789	Syndecan/Neurexin_dom	Syndecan/Neurexin domain
IPR027791	Galactosyl_T_C	Galactosyltransferase, C-terminal
IPR027795	CASTOR_ACT_dom	CASTOR,  ACT domain
IPR027796	OTT_1508_deam-like	OTT_1508-like deaminase
IPR027797	PT-TG_dom	Pre-toxin TG domain
IPR027801	CENP-P	Centromere protein P
IPR027802	Multi-ubiquitin_dom	Multi-ubiquitin domain
IPR027805	Transposase_HTH_dom	Transposase, Helix-turn-helix domain
IPR027806	HARBI1_dom	Harbinger transposase-derived nuclease domain
IPR027812	DUF4653	Protein of unknown function DUF4653
IPR027814	DUF4562	Protein of unknown function DUF4562
IPR027816	MAJIN	Membrane-anchored junction protein
IPR027817	Costars_dom	Costars domain
IPR027818	SPACA9	Sperm acrosome-associated protein 9
IPR027819	C9orf72	Guanine nucleotide exchange C9orf72
IPR027820	YgdH_N	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase YgdH, N-terminal
IPR027827	DUF4523	Protein of unknown function DUF4523
IPR027830	DUF4524	Domain of unknown function DUF4524
IPR027833	DUF4525	Domain of unknown function DUF4525
IPR027839	DUF4432	Protein of unknown function DUF4432
IPR027842	DUF4449	Protein of unknown function DUF4449
IPR027843	DUF4440	Domain of unknown function DUF4440
IPR027844	DUF4507	Protein of unknown function DUF4507
IPR027846	Cybc1	Cytochrome b-245 chaperone 1
IPR027849	DUF4434	Protein of unknown function DUF4434
IPR027850	DUF4504	Protein of unknown function DUF4504
IPR027854	STMP1	Short transmembrane mitochondrial protein 1
IPR027856	DUF4573	Protein of unknown function DUF4573
IPR027857	DUF4580	Protein of unknown function DUF4580
IPR027858	BRAWNIN	Protein BRAWNIN
IPR027861	DUF4579	Protein of unknown function DUF4579
IPR027867	SPATA48	Spermatogenesis-associated protein 48
IPR027871	DUF4603	Protein of unknown function DUF4603
IPR027873	PAXX	Protein PAXX
IPR027876	DUF4550	Domain of unknown function DUF4550
IPR027877	Smim15	Small integral membrane protein 15
IPR027878	DUF4551	Protein of unknown function DUF4551
IPR027881	SOGA	Protein SOGA
IPR027882	DUF4482	Domain of unknown function DUF4482
IPR027884	DUF4614	Domain of unknown function DUF4614
IPR027885	UPF0728	Uncharacterised protein family UPF0728
IPR027886	DUF4555	Protein of unknown function DUF4555
IPR027892	Maturin	Maturin
IPR027893	GON7_meta	EKC/KEOPS complex subunit GON7, metazoa
IPR027896	UQCC3	Ubiquinol-cytochrome-c reductase complex assembly factor 3
IPR027897	DUF4559	Protein of unknown function DUF4559
IPR027901	DUF4541	Protein of unknown function DUF4541
IPR027902	DUF4487	Protein of unknown function DUF4487
IPR027903	DUF4566	Protein of unknown function DUF4566
IPR027904	DUF4587	Domain of unknown function DUF4587
IPR027905	DUF4572	Protein of unknown function DUF4572
IPR027911	DUF4604	Domain of unknown function DUF4604
IPR027912	CFAP54	Cilia- and flagella-associated protein 54
IPR027913	DUF4473	Protein of unknown function DUF4473
IPR027915	DUF4452	Protein of unknown function DUF4452
IPR027916	Kinase-like_dom_Apicomplexa	Protein kinase-like domain, Apicomplexa
IPR027917	SMIM20	Small integral membrane protein 20
IPR027918	HYLS1_C_dom	Hydrolethalus syndrome protein 1, C-terminal domain
IPR027921	DUF4598	Protein of unknown function DUF4598
IPR027923	Hydrophob_seed_dom	Hydrophobic seed protein domain
IPR027932	DUF4606	Protein of unknown function DUF4606
IPR027934	CES_Znf_RING	Cellulose synthase, RING-type zinc finger
IPR027935	Di19_C	Protein dehydration-induced 19, C-terminal
IPR027936	Eph_TM	Ephrin receptor, transmembrane domain
IPR027939	NMT1/THI5	NMT1/THI5 family
IPR027942	SEO_N	Sieve element occlusion, N-terminal
IPR027944	SEO_C	Sieve element occlusion, C-terminal
IPR027945	SseB_C	SseB protein, C-terminal
IPR027946	Ogl_dom	Oligogalacturonate lyase domain
IPR027948	DUF4436	Protein of unknown function (DUF4436)
IPR027949	Chloroplast_duf	Petal formation-expressed
IPR027951	DUF4477	Domain of unknown function DUF4477
IPR027953	DUF4605	Domain of unknown function DUF4605
IPR027954	DUF4430	Domain of unknown function DUF4430
IPR027960	DUF4519	Protein of unknown function DUF4519
IPR027961	DUF4442	Protein of unknown function DUF4442
IPR027962	DUF4590	Protein of unknown function DUF4590
IPR027963	MEIOC	Meiosis-specific coiled-coil domain-containing protein MEIOC
IPR027965	DUF4513	Protein of unknown function DUF4513
IPR027967	DUF4612	Protein of unknown function DUF4612
IPR027971	EPOP	Elongin BC and Polycomb repressive complex 2-associated protein EPOP
IPR027973	DUF4602	Protein of unknown function DUF4602
IPR027981	DUF4446	Protein of unknown function DUF4446
IPR027983	GphnRH_2_rcpt	Gonadotropin-releasing hormone II receptor
IPR027986	TCAIM	T-cell activation inhibitor, mitochondrial
IPR027988	BRX_N	Transcription factor  BREVIS RADIX, N-terminal domain
IPR027989	DUF4461	Domain of unknown function DUF4461
IPR027993	DUF4495	Protein of unknown function DUF4495
IPR027995	Galactosyl_T_N	Galactosyltransferase, N-terminal
IPR027996	DUF4509	Domain of unknown function DUF4509
IPR027997	Largen/INSYN1	Protein Largen/Inhibitory synaptic factor 1
IPR027998	Rsf1_fungi	Respiration factor 1
IPR028000	Pma1	Pma1 stabilization in the Golgi protein 1
IPR028001	DUF4601	Protein of unknown function DUF4601
IPR028002	Myb_DNA-bind_5	Myb/SANT-like DNA-binding domain
IPR028005	AcTrfase_ESCO_Znf_dom	N-acetyltransferase ESCO, zinc-finger
IPR028006	DUF4570	Protein of unknown function DUF4570
IPR028009	ESCO_Acetyltransf_dom	N-acetyltransferase ESCO, acetyl-transferase domain
IPR028010	GSAP_C_dom	Gamma-secretase-activating protein, C-terminal domain
IPR028012	DUF4451	Protein of unknown function DUF4451
IPR028014	TMEM255	Transmembrane protein 255
IPR028015	CCDC84-like	CCDC84-like
IPR028018	DUF4646	Protein of unknown function DUF4646
IPR028019	DUF4508	Protein of unknown function DUF4508
IPR028020	ASXH	ASX homology domain
IPR028021	Katanin_C-terminal	Katanin p80 subunit, C-terminal
IPR028022	DUF4600	Protein of unknown function DUF4600
IPR028024	TMEM251	Transmembrane protein 251
IPR028026	DUF4502	Domain of unknown function DUF4502
IPR028027	DUF4542	Protein of unknown function DUF4542
IPR028030	DUF4592	Domain of unknown function DUF4592
IPR028031	DUF4460	Domain of unknown function DUF4460
IPR028032	DUF4503	Domain of unknown function DUF4503
IPR028033	DUF4462	Domain of unknown function DUF4462
IPR028036	DUF4536	Domain of unknown function DUF4536
IPR028039	CCDC32	Coiled-coil domain containing protein 32
IPR028040	TopoVIB-like	Type 2 DNA topoisomerase 6 subunit B-like
IPR028041	WDCP	WD repeat and coiled-coil-containing protein family
IPR028042	DUF4639	Protein of unknown function DUF4639
IPR028043	PAAT-like	ATPase PAAT-like
IPR028045	HROB	Homologous recombination OB-fold protein
IPR028047	Latrotoxin_C_dom	Latrotoxin, C-terminal domain
IPR028048	Tox-HNH-EHHH	HNH/Endo VII superfamily nuclease toxins
IPR028053	Membr_insert_YidC_N	Membrane insertase YidC, N-terminal
IPR028054	DUF4481	Protein of unknown function DUF4481
IPR028055	Membr_insert_YidC/Oxa1_C	Membrane insertase YidC/Oxa1, C-terminal
IPR028058	Fis1_TPR_N	Fis1, N-terminal tetratricopeptide repeat
IPR028059	SWM_rpt	Putative flagellar system-associated repeat
IPR028060	Defensin_big_dom	Big defensin domain
IPR028061	Fis1_TPR_C	Fis1, C-terminal tetratricopeptide repeat
IPR028064	TMEM154	Transmembrane protein 154
IPR028065	TERB2	Telomere repeats-binding bouquet formation protein 2
IPR028066	TMEM187	Transmembrane protein 187
IPR028068	PIRT	Phosphoinositide-interacting protein
IPR028071	Macro-like_dom	Macro-like domain
IPR028077	UAE_UbL_dom	Ubiquitin/SUMO-activating enzyme ubiquitin-like domain
IPR028078	ACDC	AP2-coincident, C-terminal domain
IPR028079	RNase_Zc3h12a_2	Zc3h12a-like Ribonuclease NYN domain
IPR028081	Leu-bd	Leucine-binding protein domain
IPR028082	Peripla_BP_I	Periplasmic binding protein-like I
IPR028083	Spt6_acidic_N_dom	Spt6 acidic, N-terminal domain
IPR028084	FNIP_N_dom	Folliculin-interacting protein, N-terminal domain
IPR028085	FNIP_mid_dom	Folliculin-interacting protein, middle domain
IPR028086	FNIP_C_dom	Folliculin-interacting protein, C-terminal domain
IPR028087	Tad_N	Putative Flp pilus-assembly TadG-like, N-terminal
IPR028088	Spt6_HTH_DNA-bd_dom	Helix-turn-helix DNA-binding domain of Spt6
IPR028090	JAB_dom_prok	JAB domain, prokaryotic
IPR028091	FAM91_N_dom	FAM91, N-terminal domain
IPR028092	RD3	Retinal degeneration protein 3
IPR028094	RTC4_C	Restriction of telomere capping protein 4, C-terminal
IPR028095	Mso1_N_dom	Mso1, N-terminal domain
IPR028096	EfeO_Cupredoxin	EfeO-type cupredoxin-like domain
IPR028097	FAM91_C_dom	FAM91, C-terminal domain
IPR028101	DUF4616	Protein of unknown function DUF4616
IPR028103	Spatacsin	Spatacsin
IPR028107	Spatacsin_C_dom	Spatacsin, C-terminal domain
IPR028108	DUF4505	Protein of unknown function DUF4505
IPR028110	TMEM254	Transmembrane protein 254
IPR028115	DUF4484	Domain of unknown function DUF4484
IPR028116	Cis-CaaD-like	Tautomerase, cis-CaaD-like
IPR028118	Chibby_fam	Chibby family
IPR028119	Snapin/Pallidin/Snn1	Snapin/Pallidin/Snn1
IPR028127	Ripply_fam	Ripply family
IPR028128	Vasculin_fam	Vasculin family
IPR028129	Consortin_C	Consortin, C-terminal domain
IPR028131	VASH1	Tubulinyl-Tyr carboxypeptidase
IPR028132	Vasohibin-1	Tubulinyl-Tyr carboxypeptidase 1
IPR028135	Ub_USP-typ	Ubiquitin-like domain, USP-type
IPR028137	Syncollin	Syncollin
IPR028143	Get2/sif1	GET complex subunit Get2/sif1
IPR028144	CYSTM_dom	Cysteine-rich transmembrane CYSTM domain
IPR028146	PRKCSH_N	Glucosidase II beta subunit, N-terminal
IPR028149	Tantalus-like	Tantalus-like
IPR028150	Lustrin_cystein	Lustrin, cysteine-rich repeated
IPR028153	UPF0444	Transmembrane protein C12orf23, UPF0444
IPR028154	AMP-dep_Lig_C	AMP-dependent ligase, C-terminal
IPR028155	RPA_interact_central	RPA-interacting protein, central domain
IPR028156	RIP	RPA-interacting protein
IPR028157	PELOTA_dom	PELOTA RNA-binding domain
IPR028158	RPA_interact_N_dom	RPA-interacting protein, N-terminal domain
IPR028159	RPA_interact_C_dom	RPA-interacting protein, C-terminal domain
IPR028160	Slx9-like	Ribosome biogenesis protein Slx9-like
IPR028161	Met8	Siroheme biosynthesis protein Met8
IPR028162	Met8_C	Siroheme biosynthesis protein Met8, C-terminal
IPR028166	UB2H	Bifunctional transglycosylase second domain
IPR028167	HPS3_central_dom	Hermansky-Pudlak syndrome 3, central region
IPR028168	KASH5_coiled-coil	KASH5-like coiled-coil domain
IPR028169	Raftlin	Raftlin family
IPR028170	KASH5	Protein KASH5
IPR028171	Codanin-1_C	Codanin-1, C-terminal domain
IPR028182	BMP2K_C	BMP-2-inducible protein kinase, C-terminal
IPR028183	UPF0640	Uncharacterised protein family UPF0640
IPR028184	VGLL4	Transcription cofactor vestigial-like protein 4
IPR028189	Nitr_red_alph_N	Nitrate reductase, alpha subunit, N-terminal
IPR028190	Ntox21	Novel toxin 21
IPR028194	CCDC-167	Coiled-coil domain-containing protein 167
IPR028197	Syntaphilin/Syntabulin	Syntaphilin/Syntabulin
IPR028203	PSII_CF48-like_dom	Photosynthesis system II assembly factor Ycf48/Hcf136-like domain
IPR028204	Tricorn_C1	Tricorn protease C1 domain
IPR028208	Effector_pro_NleD-like	Effector protein NleD-like
IPR028209	LAMTOR1/MEH1	LAMTOR1/MEH1
IPR028211	Ntr2	Pre-mRNA-splicing factor Ntr2
IPR028212	GHL6	Hypothetical glycosyl hydrolase 6
IPR028213	PA1	PTIP-associated protein 1
IPR028215	Refilin	Refilin family
IPR028217	Rsa3_C	Ribosome-assembly protein 3, C-terminal
IPR028222	AP5Z1	AP-5 complex subunit zeta-1
IPR028226	LIN37	Protein LIN37
IPR028227	UPF0449	Uncharacterised protein family UPF0449
IPR028229	PHINT_rpt	Phage-integrase repeat unit
IPR028231	Spt6_YqgF	Transcription elongation factor Spt6, YqgF domain
IPR028236	CPLANE1	Ciliogenesis and planar polarity effector 1
IPR028237	PRR15	Proline-rich protein 15
IPR028241	RAVE2/Rogdi	RAVE subunit 2/Rogdi
IPR028243	Paramyxo_P/V_N	Paramyxovirus structural protein P/V, N-terminal domain
IPR028244	T6SS_Rhs_Vgr_dom	Putative type VI secretion system, Rhs element associated Vgr domain
IPR028245	PIL1/LSP1	Eisosome component PIL1/LSP1
IPR028246	CATSPERG	Cation channel sperm-associated protein, subunit gamma
IPR028250	DsbDN	Thiol:disulfide interchange protein DsbD, N-terminal domain
IPR028255	CENP-T	Centromere protein T
IPR028257	CEP126	Centrosomal protein of 126kDa
IPR028258	Sec3-PIP2_bind	Exocyst complex component Sec3, PIP2-binding N-terminal domain
IPR028259	AP2-like_int_N	AP2-like integrase, N-terminal domain
IPR028260	FAM177	FAM177 family
IPR028262	CTC1_plant	CST complex subunit CTC1, plant
IPR028263	FliG_N	Flagellar motor switch protein FliG, N-terminal domain
IPR028265	TTDN1/SICKLE	TTDN1/Protein SICKLE
IPR028266	TP53I11	Tumor protein p53-inducible protein 11
IPR028271	RAMAC	RNA guanine-N7 methyltransferase activating subunit
IPR028280	Njmu-R1	Protein Njmu-R1
IPR028281	Sirohaem_synthase_central	Siroheme synthase, central domain
IPR028285	FGF16	Fibroblast growth factor 16
IPR028288	SCAR/WAVE_fam	SCAR/WAVE family
IPR028291	FGF20	Fibroblast growth factor 20
IPR028294	WIPF2	WAS/WASL-interacting protein family member 2
IPR028295	WIP	WAS/WASL-interacting protein family member 1
IPR028299	ClpA/B_CS2	ClpA/B, conserved site 2
IPR028301	V8_his_AS	Serine proteases, V8 family, histidine active site
IPR028306	ALY_plant	Protein ALWAYS EARLY, plant
IPR028308	RB2	Retinoblastoma-like protein 2
IPR028310	RBL1	Retinoblastoma-like protein 1
IPR028311	MYBL2	Myb-related protein B
IPR028312	E2F4	Transcription factor E2F4
IPR028313	DP-1	Transcription factor DP1
IPR028318	DYRK1A/B_MNB	Dual specificity tyrosine-phosphorylation-regulated kinase 1A/B
IPR028319	ASPP_1	Apoptosis-stimulating of p53 protein 1
IPR028320	iASPP	RelA-associated inhibitor
IPR028324	CTR1	Serine/threonine-protein kinase CTR1
IPR028336	GPR119	Glucose-dependent insulinotropic receptor
IPR028338	ThTr-1	Thiamine transporter 1
IPR028344	ParE1/4	Toxin-antitoxin system, toxin component ParE1/4
IPR028345	Antibiotic_NAT-like	Aminoglycoside 3-N-acetyltransferase-like
IPR028346	HAUS2	HAUS augmin-like complex subunit 2
IPR028348	FAD-binding_protein	FAD dependent protein
IPR028350	DNAC/ATP-binding	DNA replication protein DnaC/insertion sequence putative ATP-binding protein
IPR028352	Surface_antig_SAG1	Protozoan surface antigen, SAG1 family
IPR028353	DHAPAT	Dihydroxyacetone phosphate acyltransferase
IPR028354	GPAT_PlsB	Glycerol-3-phosphate acyltransferase, PlsB
IPR028359	UDP_ManNAc/GlcNAc_DH	UDP-N-acetyl-D-mannosamine/glucosamine dehydrogenase
IPR028362	AlgI	Alginate O-acetyltransferase AlgI
IPR028363	RPB6	DNA-directed RNA polymerase, subunit  RPB6
IPR028365	Cic1_fungi	Proteasome-interacting protein Cic1, fungi
IPR028366	P_transport_PhoU	Phosphate transport system protein PhoU
IPR028367	CyclinC/Ssn8	Cyclin C/cyclin-like subunit Ssn8
IPR028374	FadR_C	FadR, C-terminal domain
IPR028380	PLC-gamma1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1
IPR028382	PLCL2	Inactive phospholipase C-like protein 2
IPR028386	CENP-C/Mif2/cnp3	Centromere protein C/Mif2/cnp3
IPR028389	POT1	Protection of telomeres protein 1
IPR028391	PLC-delta1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1
IPR028392	PLC-eta1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1
IPR028394	CLIP2	CAP-Gly domain-containing linker protein 2
IPR028397	CLIP4	CAP-Gly domain-containing linker protein 4
IPR028398	PLC-epsilon1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1
IPR028399	CLASP_1	CLIP-associating protein 1
IPR028400	PLC-beta1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1
IPR028403	PLC-beta2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2
IPR028406	PLC-delta3	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3
IPR028410	SOCS2	Suppressor of cytokine signalling 2
IPR028412	Ral	Ras-related protein Ral
IPR028415	CAP1	Adenylyl cyclase-associated protein CAP1
IPR028417	CAP_CS_C	CAP, conserved site, C-terminal
IPR028422	GREB1	GREB1
IPR028423	SOCS7	Suppressor of cytokine signalling 7
IPR028425	CIS	Cytokine-inducible SH2-containing protein
IPR028426	Huntingtin_fam	Huntingtin family
IPR028428	Ckap4	Cytoskeleton-associated protein 4
IPR028430	Ubiquilin-1/2	Ubiquilin-1/2
IPR028433	Parvin	Parvin
IPR028435	Plakophilin/d_Catenin	Plakophilin/Delta catenin
IPR028437	TF_GATA_6	Transcription factor GATA-6
IPR028441	PHPT1	14kDa phosphohistidine phosphatase
IPR028445	CD2AP	CD2-associated protein
IPR028446	JAC-1	Juxtamembrane domain-associated catenin
IPR028455	ABI3	ABI gene family member 3
IPR028456	ABI1	Abl interactor 1
IPR028457	ABI	ABI family
IPR028458	Twinfilin	Twinfilin
IPR028460	Tbh/DBH	Tyramine beta-hydroxylase/Dopamine beta-hydroxylase
IPR028462	Desmoplakin	Desmoplakin
IPR028463	MOXD1	DBH-like monooxygenase protein 1
IPR028464	Moxd2	DBH-like monooxygenase protein 2
IPR028467	Top2b	DNA topoisomerase II-beta
IPR028468	Smc1_ABC	Smc1, ATP-binding cassette domain
IPR028471	Eyes_absent_h1	Eyes absent homologue 1
IPR028472	EYA_fam	Eyes absent family
IPR028473	EYA2	Eyes absent homologue 2
